"job_application_id","has_embedding","km_cluster","hc_cluster","hdb_cluster"
"c9faf36d-10ef-4de1-a1d7-85d42537c181",TRUE,1,3,2
"557b19f1-9e0f-4341-ba0f-8043b9323263",TRUE,7,8,2
"36d6386a-cf20-4865-814f-2ec94d925e13",TRUE,3,1,2
"bfc43a85-81da-4acd-8def-8ee338ccb715",TRUE,1,2,2
"7d859e1f-28cb-4daa-bf55-52af02aeb7d5",TRUE,4,7,2
"816c3968-62da-47e3-93da-e68dbce5d710",TRUE,3,1,2
"53d07a92-bfa2-46b7-b2f8-ce4cd2be6134",TRUE,4,3,2
"0b7469f9-6114-4c06-a6ae-17af1af09532",TRUE,6,9,2
"ec1e0ad6-ac3c-404b-bfdc-ef14b6460ae0",TRUE,3,3,2
"bfa38311-a645-4bc1-92a3-3a5843b29292",TRUE,1,2,2
"20a04f35-883c-4cd2-836d-8315aab4fbe2",TRUE,4,7,2
"75d22f62-6d74-4156-996c-52945e21b97d",TRUE,1,7,2
"08167b8f-cf5b-454c-939e-7970cdd97e75",TRUE,4,7,2
"0f8ab5bf-4b81-4ae5-af47-577030f3988e",TRUE,3,1,2
"3e821eee-7b91-4c87-b1db-8e3a29893002",TRUE,3,1,2
"20bf9da3-9b5c-4d66-bb8c-07e5d77762c0",TRUE,6,9,2
"1bb9382a-5d59-4ac0-9165-95d0e04f1e40",TRUE,1,5,2
"93318301-9959-449a-83f4-7e2a91df3b9f",TRUE,1,6,2
"a9e9a8e5-ff9e-4980-babe-16eb6c2667c1",TRUE,3,1,2
"8b5c589a-f9c2-4936-bd64-429cd4b82632",TRUE,1,2,2
"1e3ca6c3-c257-491b-82b6-e31686ecc5f1",TRUE,6,5,2
"34b76a65-d2b2-4598-b9e7-61a576a4e627",TRUE,5,5,2
"f1a9f753-e17e-4947-90f2-2d9b9e7da87c",TRUE,1,2,2
"f7e4edff-faf5-444f-8914-39fe13f1a730",TRUE,4,7,2
"ae1e589d-462b-4ca2-99e8-0c254965cd29",TRUE,3,1,2
"3e816a32-a29f-43f5-b56c-2684be6d19f6",TRUE,4,7,2
"d928cac9-bfc0-409a-9f47-a13925ccbdd4",TRUE,7,6,2
"ed236d5e-dcc4-43f0-80c9-319dc401111d",TRUE,1,2,2
